City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,0.0,mist
290,Beloha,MG,-25.1667,45.05,87.76,40,0,7.2,clear sky
291,Wanlaweyn,SO,2.6185,44.8938,79.09,54,91,23.71,overcast clouds
292,Davila,PH,18.4726,120.5763,78.67,83,92,7.09,overcast clouds
293,Mitsamiouli,KM,-11.3847,43.2844,81.73,71,73,3.33,broken clouds
294,Denpasar,ID,-8.65,115.2167,82.26,72,100,3.76,overcast clouds
295,Fukue,JP,32.6881,128.8419,47.21,58,73,17.2,broken clouds
296,Kedrovyy,RU,56.1667,91.8167,-1.79,88,52,3.83,broken clouds
297,Lumatil,PH,5.8747,124.8883,85.24,69,89,5.7,overcast clouds
298,Vao,NC,-22.6667,167.4833,78.46,87,100,21.99,overcast clouds
299,Port Blair,IN,11.6667,92.75,86.04,70,40,12.66,scattered clouds
300,Sulangan,PH,11.1373,123.7228,82.54,72,98,3.27,overcast clouds
301,Yinchuan,CN,38.4681,106.2731,31.71,33,4,3.91,clear sky
302,Nanortalik,GL,60.1432,-45.2371,26.4,91,100,16.87,snow
303,Quelimane,MZ,-17.8786,36.8883,81.28,73,6,4.65,clear sky
304,Cockburn Town,TC,21.4612,-71.1419,77.76,77,6,7.18,clear sky
305,Port Elizabeth,ZA,-33.918,25.5701,71.1,71,96,3.02,overcast clouds
306,Ronne,DK,55.1009,14.7066,39.11,93,100,17.27,overcast clouds
307,Pacific Grove,US,36.6177,-121.9166,55.63,48,0,1.01,clear sky
308,Den Helder,NL,52.9599,4.7593,48.97,89,100,20.0,overcast clouds
309,Sioux Lookout,CA,50.1001,-91.917,-12.69,100,84,3.62,broken clouds
310,Oros,BR,-6.2444,-38.9136,70.93,92,100,2.19,overcast clouds
311,Porto Novo,BJ,6.4965,2.6036,72.03,82,5,3.0,clear sky
312,Weener,DE,53.1667,7.35,47.97,94,100,18.43,overcast clouds
313,Baghdad,IQ,33.3406,44.4009,51.84,41,92,3.6,overcast clouds
314,Santiago,CL,-33.4569,-70.6483,66.85,69,0,8.05,clear sky
315,Dvinskoy,RU,62.1535,45.1175,13.95,94,100,7.18,snow
316,Pitimbu,BR,-7.4706,-34.8086,72.19,79,100,7.96,overcast clouds
317,Riyadh,SA,24.6877,46.7219,53.65,30,0,4.61,clear sky
318,Dourbali,TD,11.8091,15.8632,58.82,14,38,11.83,scattered clouds
319,Honningsvag,NO,70.9821,25.9704,28.56,59,99,5.41,overcast clouds
320,Ndele,CF,8.4109,20.6473,66.61,22,86,7.09,overcast clouds
321,Geraldton,AU,-28.7667,114.6,100.81,27,0,18.41,clear sky
322,Saint-Francois,FR,46.4154,3.9054,31.68,100,100,5.75,mist
323,Teahupoo,PF,-17.8333,-149.2667,75.16,75,38,17.2,light rain
324,Henties Bay,NA,-22.116,14.2845,62.85,83,99,4.94,overcast clouds
325,Hobyo,SO,5.3505,48.5268,79.59,62,99,21.97,light rain
326,Antalaha,MG,-14.9003,50.2788,82.35,59,85,4.52,overcast clouds
327,Babu,CN,24.4167,111.5167,41.02,88,99,7.92,overcast clouds
328,Tual,ID,-5.6667,132.75,83.79,74,97,17.29,moderate rain
329,Cayenne,GF,4.9333,-52.3333,75.09,91,100,2.3,overcast clouds
330,Terme,TR,41.2092,36.9739,37.96,59,100,6.49,overcast clouds
331,Chenzhou,CN,25.8,113.0333,36.27,92,100,5.5,light rain
332,Rio Grande,BR,-32.035,-52.0986,66.31,63,2,9.31,clear sky
333,Ust-Tsilma,RU,65.441,52.1498,11.25,94,100,8.01,light snow
334,Sao Filipe,CV,14.8961,-24.4956,70.47,70,90,11.16,overcast clouds
335,West Wendover,US,40.7391,-114.0733,28.18,43,0,1.61,clear sky
336,Klyuchi,RU,52.2667,79.1667,10.58,82,99,8.55,overcast clouds
337,Kedainiai,LT,55.2883,23.9747,28.15,82,86,8.55,overcast clouds
338,Belyy Yar,RU,53.6039,91.3903,-4.11,84,40,0.0,mist
339,Lerwick,GB,60.1545,-1.1494,50.0,91,100,38.59,overcast clouds
340,Santomera,ES,38.0615,-1.0488,45.77,75,1,1.99,clear sky
341,Marzuq,YE,14.4,46.4667,66.18,23,30,2.48,scattered clouds
342,Trincomalee,LK,8.5711,81.2335,81.63,74,15,11.18,few clouds
343,Norfolk,US,42.1668,-71.2495,32.68,91,100,1.99,light snow
344,Otradnoye,RU,59.7775,30.8181,23.05,100,94,3.67,overcast clouds
345,Baculin,PH,7.4525,126.5842,84.42,71,64,5.84,broken clouds
346,Poronaysk,RU,49.2167,143.1167,8.58,94,100,14.72,snow
347,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,75,4.61,mist
